name	period	calls	median_s	p95_s	failures	failures_per_100
bg_create	after	27	0.086018443107605	0.114986300468445	0	0.0
bg_create	before	433	0.204022228717804	0.753003358840942	0	0.0
bg_list	after	3	0.0610336661338806	0.106014311313629	0	0.0
bg_list	before	32	0.108025968074799	1.53199732303619	0	0.0
file_delivery_status	after	3	0.0609934329986572	0.0669881701469421	0	0.0
file_delivery_status	before	13	0.0659823417663574	0.11599212884903	0	0.0
list_agents	after	18	0.267510116100311	0.654995441436768	0	0.0
list_agents	before	99	0.538480281829834	18.6200156807899	0	0.0
merge_worker	after	43	1.96603238582611	14.8150071501732	12	27.91
merge_worker	before	199	0.416010618209839	1.40900462865829	21	10.55
send_file	after	5	0.0739887356758118	1.89200341701508	0	0.0
send_file	before	54	0.149506330490112	0.451979041099548	1	1.85
send_files	after	9	0.214000046253204	0.370989739894867	0	0.0
send_files	before	57	0.128987431526184	0.79500675201416	0	0.0
worker_wip	after	46	0.147494673728943	0.442001223564148	0	0.0
worker_wip	before	112	0.367489457130432	1.4900341629982	0	0.0
