compact_no,completed_utc,before_input_tokens,before_pct,after_input_tokens,after_pct,token_drop
1,2026-08-09T07:44:13.051+00:00,245174,94.882,41935,16.229,203239
2,2026-08-09T08:40:55.784+00:00,226180,87.531,44332,17.156,181848
3,2026-08-09T10:04:18.709+00:00,212226,82.131,51519,19.938,160707
4,2026-08-09T11:16:06.596+00:00,218385,84.514,55527,21.489,162858
5,2026-08-09T12:06:52.964+00:00,230949,89.377,56257,21.771,174692
