display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1448.1817281639273,1440.10720318338,1456.2562531444744,16.972186011797298,7889.0,27,creative_writing,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1447.0488868248815,1439.0405345956583,1455.057239054105,16.695143283019352,8118.0,29,creative_writing,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1428.7855752817206,1416.002930554915,1441.5682200085264,42.5348842297905,2330.0,53,creative_writing,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1405.9167717135424,1396.938235475268,1414.895307951817,20.985286253163927,5097.0,75,creative_writing,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1516.2942893304642,1511.4117312659712,1521.176847394957,6.205812522242919,29191.0,1,english,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1512.2052222272687,1504.1450171737624,1520.265427280775,16.912040070451226,6640.0,2,english,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1507.2669610651237,1502.532680591418,1512.0012415388294,5.834609363236792,31564.0,4,english,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1494.0266566805276,1482.036852863499,1506.0164604975562,37.42208423435816,2493.0,8,english,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1488.8510924572986,1482.3195952015521,1495.3825897130453,11.105274947113902,14338.0,11,english,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1483.651645975551,1478.040227239643,1489.263064711459,8.196891259141294,21554.0,17,english,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1480.2869896093803,1474.699518195321,1485.8744610234396,8.127078347097559,22244.0,21,english,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1479.4033405989794,1472.904774883294,1485.901906314665,10.993572580703173,14817.0,22,english,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1470.449944763093,1462.246784512634,1478.6531050135525,17.51726134150142,6084.0,39,english,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1450.9773794133082,1445.1556429924622,1456.799115834154,8.822849999386296,15457.0,65,english,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1527.9099547719545,1519.654525530014,1536.165384013895,17.741205919361956,11058.0,1,exclude_ties,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1524.6257637686408,1519.6023400139832,1529.6491875232982,6.569063315976818,48242.0,2,exclude_ties,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1516.4973512617128,1511.564244268612,1521.4304582548136,6.334974743002048,50888.0,4,exclude_ties,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1499.673398904293,1489.1399687989604,1510.2068290096254,28.88307670674871,4680.0,10,exclude_ties,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1496.0826259079076,1489.383227454206,1502.7820243616093,11.683566513762516,23297.0,13,exclude_ties,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1491.6269287136283,1485.9283826666656,1497.325474760591,8.453410166580067,34904.0,14,exclude_ties,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1485.5754749801345,1479.847736433911,1491.3032135263581,8.540242232237967,36126.0,17,exclude_ties,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1482.8458335472176,1476.1022967506306,1489.5893703438044,11.83802577342325,23837.0,24,exclude_ties,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1467.4897967690638,1459.3935626225414,1475.5860309155862,17.063571527098226,10180.0,38,exclude_ties,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1452.0796469165548,1446.353151624632,1457.806142208478,8.53653517037858,25338.0,54,exclude_ties,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1546.7011342952378,1537.313707789427,1556.0885608010487,22.94018510032503,5238.0,1,expert,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1544.997481516328,1529.5083856450399,1560.4865773876163,62.45338089205613,1551.0,2,expert,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1535.63471181898,1526.9354422917029,1544.3339813462571,19.700143575803807,6342.0,4,expert,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1525.5600464852448,1514.3664692321709,1536.7536237383185,32.61682021568407,3121.0,6,expert,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1523.506522702339,1499.6456571093988,1547.3673882952792,148.20955616582114,631.0,7,expert,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1517.4352877378924,1507.5818904041123,1527.2886850716725,25.274106413510754,4414.0,8,expert,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1514.1171707508329,1502.9830400926937,1525.251301408972,32.27129882134563,3211.0,10,expert,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1513.7535311887284,1497.3420132974363,1530.1650490800203,70.11344701790341,1337.0,11,expert,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1507.905455174074,1498.1228516423664,1517.6880587057815,24.912236815617963,4669.0,19,expert,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1469.354647228403,1457.395844863554,1481.3134495932525,37.228813499471656,2757.0,65,expert,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1542.6704845336005,1516.2780523307654,1569.062916736436,181.3270713273954,611.0,1,french,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1516.626416493087,1497.0254310887863,1536.2274018973876,100.01373091647086,1124.0,4,french,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1511.6319375191542,1495.78100601219,1527.4828690261186,65.40536847225006,2067.0,7,french,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1507.1615435637937,1466.5087481253483,1547.814339002239,430.21410721811526,231.0,9,french,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1503.1622019699305,1486.4351734866634,1519.8892304531976,72.83521571876999,1818.0,13,french,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1500.2122850959468,1481.2211535759025,1519.2034166159908,93.88700835961195,1253.0,16,french,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1493.68761065919,1478.3200623853927,1509.0551589329873,61.47704582313283,2173.0,19,french,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1489.9811392718143,1462.3632530309928,1517.5990255126355,198.5567660655349,526.0,22,french,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1488.8584784477082,1472.009671943177,1505.7072849522392,73.89960269724664,1727.0,24,french,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1470.797445828879,1449.7709823485982,1491.8239093091597,115.08965398923579,984.0,53,french,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1512.2900310739017,1492.2570422846275,1532.3230198631757,104.47089466877806,993.0,2,german,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1494.6676503659505,1474.8557125706193,1514.4795881612818,102.17807804982539,1048.0,7,german,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1493.0911262040172,1455.8577338418652,1530.324518566169,360.88516667828094,250.0,8,german,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1484.6124519450232,1458.1204186709235,1511.104485219123,182.69825598942438,508.0,12,german,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1483.1618741179457,1459.4868395765045,1506.8369086593868,145.91000104412274,706.0,13,german,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1465.195357212631,1439.5880892926166,1490.8026251326453,170.6987373637683,544.0,28,german,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1464.6754053782836,1440.5033782578325,1488.8474324987346,152.10026252637132,662.0,30,german,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1443.86707527209,1417.541850974127,1470.1922995700527,180.40475420554606,518.0,54,german,2026-07-21
