display_name,fleet_id,model_name,rating,rating_lower,rating_upper,variance,vote_count,rank,category,leaderboard_publish_date
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1514.1171707508329,1502.9830400926937,1525.251301408972,32.27129882134563,3211.0,10,expert,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1513.7535311887284,1497.3420132974363,1530.1650490800203,70.11344701790341,1337.0,11,expert,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1507.905455174074,1498.1228516423664,1517.6880587057815,24.912236815617963,4669.0,19,expert,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1469.354647228403,1457.395844863554,1481.3134495932525,37.228813499471656,2757.0,65,expert,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1533.887366100932,1526.5420191547018,1541.2327130471624,14.045216746783856,9527.0,1,hard_prompts,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1532.8737276929378,1528.277934748374,1537.4695206375018,5.4982530791484185,39515.0,2,hard_prompts,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1526.6637312684336,1522.2001395254551,1531.127323011412,5.186480495549016,42980.0,3,hard_prompts,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1512.7696200695377,1506.6687832461866,1518.8704568928888,9.689082112412423,20316.0,7,hard_prompts,2026-07-21
Sol xHigh,gpt-5.6-sol-xhigh,gpt-5.6-sol-xhigh,1505.5827830306912,1495.91910025967,1515.2464658017125,24.310234485881697,4075.0,9,hard_prompts,2026-07-21
Opus 4.8,claude-opus-4-8,claude-opus-4-8,1504.809081608076,1498.7587412719477,1510.859421944204,9.52935327219393,20894.0,11,hard_prompts,2026-07-21
GPT 5.5 high,gpt-5.5-high,gpt-5.5-high,1501.1386067652984,1495.9145815817453,1506.3626319488515,7.104186298023548,29725.0,16,hard_prompts,2026-07-21
GPT 5.5,gpt-5.5,gpt-5.5,1494.4334412405658,1489.2709553811383,1499.5959270999933,6.937796679016061,31056.0,24,hard_prompts,2026-07-21
Sonnet 5 high,claude-sonnet-5-high,claude-sonnet-5-high,1490.7674450076713,1483.473302330878,1498.0615876844647,13.850081407304028,8943.0,29,hard_prompts,2026-07-21
GPT 5.3 chat (not Spark),gpt-5.3-chat-latest,gpt-5.3-chat-latest,1471.7689743637898,1466.4030642335579,1477.134884494022,7.495327392452308,20586.0,56,hard_prompts,2026-07-21
Fable 5,claude-fable-5,claude-fable-5,1513.2062944580941,1504.0664627701392,1522.346126146049,21.74604159079562,5041.0,1,instruction_following,2026-07-21
Opus 4.6 thinking,claude-opus-4-6-thinking,claude-opus-4-6-thinking,1513.1146534586544,1507.400104829331,1518.829202087978,8.500954340831264,19642.0,2,instruction_following,2026-07-21
Opus 4.6,claude-opus-4-6,claude-opus-4-6,1498.6475605316216,1493.1915796211172,1504.103541442126,7.749068540167075,21634.0,4,instruction_following,2026-07-21
Opus 4.8 thinking,claude-opus-4-8-thinking,claude-opus-4-8-thinking,1494.4248239497583,1487.2212722556783,1501.6283756438386,13.508190359803976,10441.0,5,instruction_following,2026-07-21
