agent_signal,display_name,fleet_id,model_name,score,score_ci_lower,score_ci_upper,observation_count,session_count,rank,category,leaderboard_publish_date
agent_steerability,GPT 5.5,gpt-5.5,GPT 5.5,0.06075178752270116,0.04688401882119199,0.07461955622421033,58438.0,,13,overall,2026-07-21
agent_task_outcome_explicit,Fable 5,claude-fable-5,Claude Fable 5 (High),0.106742867352706,0.06835768466377783,0.14512805004163415,15705.0,,2,overall,2026-07-21
agent_task_outcome_explicit,Opus 4.8 thinking,claude-opus-4-8-thinking,Claude Opus 4.8 (Thinking),0.08897219350146501,0.0628110948339741,0.11513329216895593,23472.0,,3,overall,2026-07-21
agent_task_outcome_explicit,Sonnet 5 high,claude-sonnet-5-high,Claude Sonnet 5 (High),0.08140045376309712,0.04466918030424159,0.11813172722195266,15546.0,,5,overall,2026-07-21
agent_task_outcome_explicit,Sol xHigh,gpt-5.6-sol-xhigh,GPT 5.6 Sol (xHigh),0.07252313603255522,0.03960614039117686,0.1054401316739336,10571.0,,6,overall,2026-07-21
agent_task_outcome_explicit,Opus 4.8,claude-opus-4-8,Claude Opus 4.8,0.07101481223904582,0.04375718775103861,0.09827243672705303,19478.0,,7,overall,2026-07-21
agent_task_outcome_explicit,GPT 5.5 high,gpt-5.5-high,GPT 5.5 (High),0.06197190429576038,0.0461124251342772,0.07783138345724357,46134.0,,10,overall,2026-07-21
agent_task_outcome_explicit,GPT 5.5,gpt-5.5,GPT 5.5,0.03922656819094683,0.02343903100997489,0.05501410537191877,49142.0,,14,overall,2026-07-21
agent_task_outcome_explicit,Opus 4.6,claude-opus-4-6,Claude Opus 4.6,0.031174457541453204,0.004903615627076075,0.05744529945583034,25510.0,,17,overall,2026-07-21
agent_tool_hallucination,GPT 5.5 high,gpt-5.5-high,GPT 5.5 (High),0.01389087642135678,0.012229095494852304,0.015552657347861255,1690032.0,,2,overall,2026-07-21
agent_tool_hallucination,GPT 5.5,gpt-5.5,GPT 5.5,0.013890876420198595,0.012229095493694242,0.015552657346702947,1282219.0,,3,overall,2026-07-21
agent_tool_hallucination,Fable 5,claude-fable-5,Claude Fable 5 (High),0.013890876418820142,0.012229095492315923,0.01555265734532436,778807.0,,5,overall,2026-07-21
agent_tool_hallucination,Sol xHigh,gpt-5.6-sol-xhigh,GPT 5.6 Sol (xHigh),0.013890876410087571,0.012229095483584487,0.015552657336590656,1149915.0,,11,overall,2026-07-21
agent_tool_hallucination,Opus 4.6,claude-opus-4-6,Claude Opus 4.6,0.013872120175619784,0.012210128469697752,0.015534111881541817,1074577.0,,13,overall,2026-07-21
agent_tool_hallucination,Sonnet 5 high,claude-sonnet-5-high,Claude Sonnet 5 (High),0.012507126125534285,0.010730349274932681,0.014283902976135888,2051582.0,,19,overall,2026-07-21
agent_tool_hallucination,Opus 4.8 thinking,claude-opus-4-8-thinking,Claude Opus 4.8 (Thinking),0.0022137740453800347,-0.008880963091973046,0.013308511182733115,1388527.0,,31,overall,2026-07-21
agent_tool_hallucination,Opus 4.8,claude-opus-4-8,Claude Opus 4.8,-0.1897661890655371,-0.2356888450146446,-0.1438435331164296,1225741.0,,37,overall,2026-07-21
