ts_utc,call_id_hash,query_bytes,query_count,result_count
2026-08-09T07:41:33.139Z,f7685382bf66,88,4,16
2026-08-09T07:41:40.917Z,2ec22ea8234e,60,4,27
2026-08-09T07:41:51.479Z,44723f8df291,0,0,8
2026-08-09T07:41:59.112Z,ed7199d9e5fe,16,0,4
2026-08-09T07:42:04.472Z,835814b443b0,0,0,3
2026-08-09T07:45:38.344Z,f2e2ceb21647,83,4,15
2026-08-09T07:45:45.455Z,4a2e4b6b2b21,101,3,38
2026-08-09T07:45:54.328Z,38c85e1367a1,120,2,25
2026-08-09T07:47:41.164Z,de7dd3e328fd,113,2,12
