project_id	scope	par_number	status	worker_session_id	worker_row_exists	worker_name	worker_status	worker_task_id	matching_main_prefix_count	linked_git_commit_count	linked_sha_reachable_count
/home/kesha/orchestra	/home/kesha/orchestra	107	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	119	done	c25555bb-bd2e-48a0-b129-5d6a57672d1f	1	m119-c7	archived	119	3	4	0
/home/kesha/orchestra	/home/kesha/orchestra	122	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	123	in_progress	25172ae7-8772-43d9-9aea-667831a50de2	1	demo-artifact	archived		0	1	0
/home/kesha/orchestra	/home/kesha/orchestra	124	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	127	done	2b2f953a-602e-45d4-8dc4-8b40df68aef5	1	research-opus5-migration	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	128	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	129	done		0				2	1	0
/home/kesha/orchestra	/home/kesha/orchestra	130	done		0				4	1	0
/home/kesha/orchestra	/home/kesha/orchestra	136	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	137	done	670fad42-1a2f-49b9-b065-46eb5c3c6f63	1	research-prime-agent	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	140	done	3bd96ccd-237f-4a52-b5ab-ab923f68db5b	1	audit-agent-slop	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	144	in_progress		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	145	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	150	in_progress		0				3	3	0
/home/kesha/orchestra	/home/kesha/orchestra	154	done	28290b1e-99d9-4a74-9085-75277ee02135	1	feat-codex-gate	archived		3	2	0
/home/kesha/orchestra	/home/kesha/orchestra	155	done	139bcabb-ccfc-4ecc-abe1-1e3ab1f67e63	1	probe-safeguards	archived	155	2	1	0
/home/kesha/orchestra	/home/kesha/orchestra	157	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	161	in_progress		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	162	done	efbc5959-114d-41cb-bfe7-42a25b06636a	1	feat-quota-math	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	163	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	164	new		0				0	0	0
/home/kesha/orchestra	/home/kesha/orchestra	168	done	fa68fa66-b2fe-4d87-9d47-c6c292750a9f	1	feat-quota-guard	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	169	done	7201e51d-3e6b-435e-a550-7b2dd1cf263c	1	fix-task-project-case	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	170	done	31eef8bf-ebb5-489d-8382-e79f484a0e14	1	perf-codex-seedon	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	171	done	6e5b1a6c-6782-4a6a-8f19-268027189bde	1	research-ouroboros	archived		1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	172	done		0				0	1	0
/home/kesha/orchestra	/home/kesha/orchestra	173	done		0				1	1	0
/home/kesha/orchestra	/home/kesha/orchestra	174	in_progress	5c0df2b5-581d-4cb7-941f-7f5f5858c570	1	review-t2-final	archived		11	12	0
/home/kesha/orchestra	/home/kesha/orchestra	175	done	b83a0a7f-dbcc-4043-82d8-19a5262d46d6	1	audit-codex-era	archived		2	1	0
